course,subject,yearRange,semesterGroup,semester,fileUrl,fileName,note
B.A (Prog.) History as Major,Persian History of Persian Literature During Mughal Period,2024,Semester 6,6,https://zhdce.ac.in/Previousyear_paper/2024/DSE-NEP/6/2074DSE_B.A.%20(Prog)_Persian_VIth%20Sem_History%20of%20Persian%20Literature%20During%20Mughal%20Period_2246_62097901_0001.pdf,DSE_B.A. (Prog)_Persian_VIth Sem_History of Persian Literature During Mughal Period_2246_62097901_0001,Prog | approx (auto-detected from title)
B.A. (Prog.) with Persian as Major Discipline,Spoken Persian and Interpretation,2024,Semester 6,6,https://zhdce.ac.in/Previousyear_paper/2024/DSE-NEP/6/2091DSE_B.A.%20(Prog)_Persian_VIth%20Sem_Spoken%20Persian%20and%20Interpretation_2159_62097903_0001.pdf,DSE_B.A. (Prog)_Persian_VIth Sem_Spoken Persian and Interpretation_2159_62097903_0001,Prog | approx (auto-detected from title)
B.A. (Prog.) with Persian as Major Discipline,Spoken Persian and Interpretation,2024,Semester 6,6,https://zhdce.ac.in/Previousyear_paper/2024/DSE-NEP/6/2108DSE_B.A.%20(Prog)_Persian_VIth%20Sem_Spoken%20Persian%20and%20Interpretation_2248_62097903_0001.pdf,DSE_B.A. (Prog)_Persian_VIth Sem_Spoken Persian and Interpretation_2248_62097903_0001,Prog | approx (auto-detected from title)
B.A. (Prog) Philosophy,"Philosophy, Religion and Culture in Sanskrit Tradition",2024,Semester 6,6,"https://zhdce.ac.in/Previousyear_paper/2024/DSE-NEP/6/2124DSE_B.A.%20(Prog)_Philosophy_VIth%20Sem_Philosophy,%20Religion%20and%20Culture%20in%20Sanskrit%20Tradition_2185_62137905_0001.pdf","DSE_B.A. (Prog)_Philosophy_VIth Sem_Philosophy, Religion and Culture in Sanskrit Tradition_2185_62137905_0001",Prog | approx (auto-detected from title)
B.A. (Prog) Philosophy,"Philosophy, Religion and Culture in Sanskrit Tradition",2024,Semester 6,6,"https://zhdce.ac.in/Previousyear_paper/2024/DSE-NEP/6/2079DSE_B.A.%20(Prog)_Philosophy_VIth%20Sem_Philosophy,%20Religion%20and%20Culture%20in%20Sanskrit%20Tradition_2276_62137905_0001.pdf","DSE_B.A. (Prog)_Philosophy_VIth Sem_Philosophy, Religion and Culture in Sanskrit Tradition_2276_62137905_0001",Prog | approx (auto-detected from title)
B.A. (Prog.) with Political Science as Major Discipline,Democracy and Governance,2024,Semester 6,6,https://zhdce.ac.in/Previousyear_paper/2024/DSE-NEP/6/2095DSE_B.A.%20(Prog)_Political%20Science_VIth%20Sem_Democracy%20and%20Governance_2167_62327602_0001.pdf,DSE_B.A. (Prog)_Political Science_VIth Sem_Democracy and Governance_2167_62327602_0001,Prog | approx (auto-detected from title)
B.A. (Prog.) with Political Science as Major Discipline,Democracy and Governance,2024,Semester 6,6,https://zhdce.ac.in/Previousyear_paper/2024/DSE-NEP/6/2109DSE_B.A.%20(Prog)_Political%20Science_VIth%20Sem_Democracy%20and%20Governance_2256_62327602_0001.pdf,DSE_B.A. (Prog)_Political Science_VIth Sem_Democracy and Governance_2256_62327602_0001,Prog | approx (auto-detected from title)
B.A. (Prog.) with Political Science as Major Discipline,Understanding Globalisation,2024,Semester 6,6,https://zhdce.ac.in/Previousyear_paper/2024/DSE-NEP/6/2069DSE_B.A.%20(Prog)_Political%20Science_VIth%20Sem_Understanding%20Globalization_2166_62327601_0001.pdf,DSE_B.A. (Prog)_Political Science_VIth Sem_Understanding Globalization_2166_62327601_0001,Prog | approx (auto-detected from title)
B.A. (Prog.) with Political Science as Major Discipline,Understanding Globalisation,2024,Semester 6,6,https://zhdce.ac.in/Previousyear_paper/2024/DSE-NEP/6/2085DSE_B.A.%20(Prog)_Political%20Science_VIth%20Sem_Understanding%20Globalization_2255_62327601_0001.pdf,DSE_B.A. (Prog)_Political Science_VIth Sem_Understanding Globalization_2255_62327601_0001,Prog | approx (auto-detected from title)
B.A. (Prog.) Sanskrit (MAJOR),Nationalism in Sanskrit Literature,2024,Semester 6,6,https://zhdce.ac.in/Previousyear_paper/2024/DSE-NEP/6/2109DSE_B.A.%20(Prog)_Sanskrit_VIth%20Sem_Nationalism%20in%20Sanskrit%20Literature_2182_62137902_0001.pdf,DSE_B.A. (Prog)_Sanskrit_VIth Sem_Nationalism in Sanskrit Literature_2182_62137902_0001,Prog | approx (auto-detected from title)
B.A. (Prog.) Sanskrit (MAJOR),Nationalism in Sanskrit Literature,2024,Semester 6,6,https://zhdce.ac.in/Previousyear_paper/2024/DSE-NEP/6/2126DSE_B.A.%20(Prog)_Sanskrit_VIth%20Sem_Nationalism%20in%20Sanskrit%20Literature_2273_62137902_0001.pdf,DSE_B.A. (Prog)_Sanskrit_VIth Sem_Nationalism in Sanskrit Literature_2273_62137902_0001,Prog | approx (auto-detected from title)
B.Com (P),Tax Procedure & Practice (TPP) Indirect Taxes -Customs Act & Procedures,2024,Semester 6,6,https://zhdce.ac.in/Previousyear_paper/2024/DSE-NEP/6/2087DSE_B.A.%20(Prog)_Tax%20Procedure%20&%20Practice%20%20(TPP)_VIth%20Sem_Indirect%20Taxes%20-Customs%20Act%20&%20Procedures_2270_62417602_0001.pdf,DSE_B.A. (Prog)_Tax Procedure & Practice (TPP)_VIth Sem_Indirect Taxes -Customs Act & Procedures_2270_62417602_0001,Prog | approx (auto-detected from title)
B.A. (Prog.) with Urdu as Major Discipline,POET MIRZA GHALIB,2024,Semester 6,6,https://zhdce.ac.in/Previousyear_paper/2024/DSE-NEP/6/2109DSE_B.A.%20(Prog)_Urdu_VIth%20Sem_Study%20of%20a%20Poet%20Mirza%20Ghalib_2190_62147911_0001.pdf,DSE_B.A. (Prog)_Urdu_VIth Sem_Study of a Poet Mirza Ghalib_2190_62147911_0001,Prog | approx (auto-detected from title)
B.A. (Prog.) with Urdu as Major Discipline,POET MIRZA GHALIB,2024,Semester 6,6,https://zhdce.ac.in/Previousyear_paper/2024/DSE-NEP/6/2128DSE_B.A.%20(Prog)_Urdu_VIth%20Sem_Study%20of%20a%20Poet%20Mirza%20Ghalib_2279_62147911_0001.pdf,DSE_B.A. (Prog)_Urdu_VIth Sem_Study of a Poet Mirza Ghalib_2279_62147911_0001,Prog | approx (auto-detected from title)
