course,subject,yearRange,semesterGroup,semester,fileUrl,fileName,note
BA(H) HINDI,हिंदी साहित्य का इतिहास (आदिकाल एव मध्यकाल),2023,Not Specified,,https://drive.google.com/file/d/1LIrowlc3SxGz6DhGOfrPEc0OSp4-QuV6/view?usp=drive_link,,Paper Code 2052101102 | Syllabus: https://drive.google.com/file/d/1t5KhyJKX4NrW0_u9boD9PzbvBBDdgqFj/view?usp=drive_link
BA(H) HINDI,हिंदी साहित्य का इतिहास (आधुनिक काल),2023,Not Specified,,https://drive.google.com/file/d/1T1Ega2I3cdgAqYsVHKj8YQ6RO3yCouL_/view?usp=drive_link,,Paper Code 2052101202 | Syllabus: https://drive.google.com/file/d/19QG6SYIdjZVNLuKb6z1NBqn9EH3s8zI4/view?usp=drive_link
BA(H) HINDI,हिन्दी कविता: आदिकाल एव निर्गुण भक्तिकाव्य,2023,Not Specified,,https://drive.google.com/file/d/1yUOrwgwq5Nz5n3MGPmKmiKeoJ1IpKvfd/view?usp=drive_link,,Paper Code 2052101101 | Syllabus: https://drive.google.com/file/d/1ETomvw_etktFZCE74hbH3JFUGw37StQc/view?usp=drive_link
BA(H) HINDI,HINDI NIBANDH EVAM ANYA GADYA VIDHAEIN,2024,Not Specified,,https://drive.google.com/file/d/1ByTLmhWJvqNvsfDIVAQvoak8RqLaKP_A/view?usp=sharing,,Paper Code 2052101203 | Syllabus: https://drive.google.com/file/d/1xqChV4vk892pZGVpkmzeR1RbS26CmNXH/view?usp=drive_link
BA(H) HINDI,आधुनिक हिंदी कविता (छायावाद तक),2024,Not Specified,,https://drive.google.com/file/d/1IP88bFWhGJXjdfzBMvSGOOPNSccIRMEc/view?usp=drive_link,,Paper Code 2052102402 | Syllabus: https://drive.google.com/file/d/1Vkj7l1QXYyMn405F9XKJVgYiaBYlMn3x/view?usp=drive_link
BA(H) HINDI,भारतीय काव्यशास्त्र,2024,Not Specified,,https://drive.google.com/file/d/1hhL1l7IV2LtcOfKz08nZSMiGrRkDO848/view?usp=drive_link,,Paper Code 2052102401 | Syllabus: https://drive.google.com/file/d/11ZM0dSbk3PDo3LiOU0UNjln24QEzFNA_/view?usp=drive_link
BA(H) HINDI,हिंदी उपन्यास,2024,Not Specified,,https://drive.google.com/file/d/1Lorw92OY6SotMpj55ncioh4MENzLgCyL/view?usp=drive_link,,Paper Code 2052102403 | Syllabus: https://drive.google.com/file/d/1wGWg35oEyxH0tBUnJYsntEcBlsBUKvxo/view?usp=drive_link
BA(H) HINDI,हिंदी कविता : सगुण भक्तिकाव्य एवं रीतिकालीन काव्य,2024,Not Specified,,https://drive.google.com/file/d/1-ygrw7_C92A7pQYDj_a8gFmwGkQ0btjM/view?usp=sharing,,Paper Code 2052101201 | Syllabus: https://drive.google.com/file/d/1IUp9dIwBLFgxHBxIXgkzHcN5M3Xcq7Kq/view?usp=drive_link
BA(H) HINDI,हिंदी साहित्य का इतिहास(आधुनिक काल),2024,Not Specified,,https://drive.google.com/file/d/1_F_Jmrooa8ngn7U9ANvf50VVRuIRFoUn/view?usp=sharing,,Paper Code 2052101202 | Syllabus: https://drive.google.com/file/d/19QG6SYIdjZVNLuKb6z1NBqn9EH3s8zI4/view?usp=drive_link
BA(H) HINDI,AADHUNIK HINDI KAVITA (CHHAYAVAD TAK),2025,Not Specified,,https://drive.google.com/file/d/1KTLOEcS6j-0IONFAFjmRWETSCWeSGJLF/view?usp=sharing,,Paper Code 2052102402 | Syllabus: https://drive.google.com/file/d/1Vkj7l1QXYyMn405F9XKJVgYiaBYlMn3x/view?usp=drive_link
BA(H) HINDI,BHARTIYA KAVYASHASTRA,2025,Not Specified,,https://drive.google.com/file/d/1H1c6w2d_uJij0xhPoKZ88QkgGp16uITW/view?usp=sharing,,Paper Code 2052102401 | Syllabus: https://drive.google.com/file/d/11ZM0dSbk3PDo3LiOU0UNjln24QEzFNA_/view?usp=drive_link
BA(H) HINDI,HINDI KAVITA : SAGUN BHAKTIKAVYA EVAM RITIKALEEN KAVYA,2025,Not Specified,,https://drive.google.com/file/d/1CEtZAXaHRoTJf2fPlQGw2QJSC8cQRgGU/view?usp=sharing,,Paper Code 2052101201 | Syllabus: https://drive.google.com/file/d/1IUp9dIwBLFgxHBxIXgkzHcN5M3Xcq7Kq/view?usp=drive_link
BA(H) HINDI,HINDI NIBANDH EVAM ANYA GADYA VIDHAEIN,2025,Not Specified,,https://drive.google.com/file/d/1PDtsMQFxo5CFoa9vrDziU5XOXw1nCcuo/view?usp=sharing,,Paper Code 2052101203 | Syllabus: https://drive.google.com/file/d/1xqChV4vk892pZGVpkmzeR1RbS26CmNXH/view?usp=drive_link
BA(H) HINDI,HINDI SAHITYA KA ITIHAS (ADHUNIK KAL),2025,Not Specified,,https://drive.google.com/file/d/1N4Q73yH4pN_h3XTyp3fHbQ6m6KLe0l69/view?usp=sharing,,Paper Code 2052101202 | Syllabus: https://drive.google.com/file/d/19QG6SYIdjZVNLuKb6z1NBqn9EH3s8zI4/view?usp=drive_link
BA(H) HINDI,HINDI UPANYAS,2025,Not Specified,,https://drive.google.com/file/d/1vYyA5zQclpCRUr4Dx5h7bBupUN-dVy0Y/view?usp=sharing,,Paper Code 2052102403 | Syllabus: https://drive.google.com/file/d/1wGWg35oEyxH0tBUnJYsntEcBlsBUKvxo/view?usp=drive_link
BA(H) HINDI,आधुनिक हिंदी कविता (छायावाद तक),2025,Not Specified,,https://drive.google.com/file/d/1Vg0k_hmUBVOzZTAllW9wVB0OagdrVPgK/view?usp=sharing,,Paper Code 2052103502 | Syllabus: https://drive.google.com/file/d/1XYTSNk2dMyw4d0lzR6dTa9vieLiM0h41/view?usp=drive_link
BA(H) HINDI,पाश्चात्य काव्यशास्त्र,2025,Not Specified,,https://drive.google.com/file/d/1dAj5zQozpsupjo1F3greuz7k4-Jtb5D6/view?usp=sharing,,Paper Code 2052103501 | Syllabus: https://drive.google.com/file/d/1Ij7hxIJBB0vq0zhmfXnGRAEVapWVmveP/view?usp=drive_link
BA(H) HINDI,भारतीय और पाश्चात्य रंगमंच,2025,Not Specified,,https://drive.google.com/file/d/1bFUFhD6c26FwP_iQqVlRmR3BoJIVziyo/view?usp=sharing,,Paper Code 2053100007 | Syllabus: https://drive.google.com/file/d/1SuHNNHjXIW4lQtwW24qLVibDCvgL-Jtm/view?usp=drive_link
BA(H) HINDI,भारतीय साहित्य,2025,Not Specified,,https://drive.google.com/file/d/1q-sDp42Y2iX3PIijEgXmYgUw1WCBSPbL/view?usp=sharing,,Paper Code 2052102301 | Syllabus: https://drive.google.com/file/d/1nngJMjXWzWz6MagQoPg0IgA57SHHe0gM/view?usp=drive_link
BA(H) HINDI,सामान्य भाषा विज्ञान,2025,Not Specified,,https://drive.google.com/file/d/1PYBBxYKyxtbQvHVOEsPeeQ3iJSQRKS4f/view?usp=drive_link,,Paper Code 2052102303 | Syllabus: https://drive.google.com/file/d/1uGE20uhg7XzX27h4UPC29xTVeGlx9515/view?usp=drive_link
BA(H) HINDI,हिंदी आलोचना,2025,Not Specified,,https://drive.google.com/file/d/15ydbYjDr0YgtTIBaPwcd_ghS5Scu_dij/view?usp=sharing,,Paper Code 2052103503 | Syllabus: https://drive.google.com/file/d/1tvlGFYe-KOu97gGQ0VKsnTjOCbSPMr-P/view?usp=drive_link
BA(H) HINDI,हिंदी कहानी,2025,Not Specified,,https://drive.google.com/file/d/190lRoSCgI9imLFIMsDFG9eWLN7RxY_xz/view?usp=drive_link,,Paper Code 2052101103 | Syllabus: https://drive.google.com/file/d/1G41BP0PWvAHB8dew2Wdv8YhNxHnGQjUz/view?usp=drive_link
BA(H) HINDI,हिंदी नाटक एवं एकांकी,2025,Not Specified,,https://drive.google.com/file/d/16_COMHKU3jL5KWPZGpxLaefW11s4Rc-U/view?usp=sharing,,Paper Code 2052102302 | Syllabus: https://drive.google.com/file/d/1CvX5uekVE7TDjW69yXWFAZ4YGV_hLYT6/view?usp=drive_link
BA(H) HINDI,हिंदी साहित्य का इतिहास (आदिकाल एव मध्यकाल),2025,Not Specified,,https://drive.google.com/file/d/1l2L1TBLdPgPvlIC_ay6_xfIWXFuIJ6p8/view?usp=drive_link,,Paper Code 2052101102 | Syllabus: https://drive.google.com/file/d/1t5KhyJKX4NrW0_u9boD9PzbvBBDdgqFj/view?usp=drive_link
BA(H) HINDI,हिंदी सिनेमा: व्यावसायिक सन्दर्भ,2025,Not Specified,,https://drive.google.com/file/d/1UYR6zltX8F3TkUVb34ZAV8islRZuEHBt/view?usp=sharing,,Paper Code 2053100008 | Syllabus: https://drive.google.com/file/d/1RjKLWz79iCdHnz9GKo60yHOxnPxVGD4Y/view?usp=drive_link
BA(H) HINDI,हिन्दी कविता: आदिकाल एव निर्गुण भक्तिकाव्य,2025,Not Specified,,https://drive.google.com/file/d/1mbBrLAG6WW1BI5mU56oF_ejelorAOi8T/view?usp=drive_link,,Paper Code 2052101101 | Syllabus: https://drive.google.com/file/d/1ETomvw_etktFZCE74hbH3JFUGw37StQc/view?usp=drive_link
BA(H) HISTORY,HISTORY OF INDIA – III: 750 – 1200,2023,Not Specified,,https://drive.google.com/file/d/1V-RIXxp8mJOiaT2PutRAxMxwexeWQWsF/view?usp=drive_link,,Paper Code 2312102301 | Syllabus: https://drive.google.com/file/d/1goDYqqQ5HQFCIU_ZvCxWMS0PpO-1K3un/view?usp=drive_link
BA(H) HISTORY,HISTORY OF INDIA I (FORM THE BEGINNING TO FOURTH CENTURY BCE),2023,Not Specified,,https://drive.google.com/file/d/1WvJZaG4Tb1JARBUXemQFWnLTMThyWfAW/view?usp=drive_link,,Paper Code 2312101101 | Syllabus: https://drive.google.com/file/d/1iJJ5xuhcOvi7j-UVdv8_MgDDb1GpNYxF/view?usp=drive_link
BA(H) HISTORY,HISTORY OF MODERN CHINA (1840 – 1950S),2023,Not Specified,,https://drive.google.com/file/d/16QODailhkMN4YHwE4Ouam6hdP1vazI__/view?usp=drive_link,,Paper Code 2312102303 | Syllabus: https://drive.google.com/file/d/17E-Z-8iTaDlHpHulXMxtmiWntKbTkyaS/view?usp=drive_link
BA(H) HISTORY,HISTORY OF THE USA INDEPENDENCE TO CIVIL WAR,2023,Not Specified,,https://drive.google.com/file/d/1hqglM5lzC8iJYY-RsIxKK6vkdF9lxLOb/view?usp=drive_link,,Paper Code 2312101103 | Syllabus: https://drive.google.com/file/d/1mjOk9lmZomMCoB5t9xhshspwB2bM3xgJ/view?usp=drive_link
BA(H) HISTORY,HISTORY OF THE USA: RECONSTRUCTION TO NEW AGE POLITICS,2023,Not Specified,,https://drive.google.com/file/d/1AyBMyEl4afHZ2efzn0tldD2wd0lX_ArT/view?usp=drive_link,,Paper Code 2312101203 | Syllabus: https://drive.google.com/file/d/1ZB14U7fslJZ_ZL3T5MI9lu7OVJERy0NN/view?usp=drive_link
BA(H) HISTORY,PUNJABI BHASHA ATE COMPUTER,2023,Not Specified,,https://drive.google.com/file/d/1DWn7KmyCaEZe02IVWsMySuqm16i-qrtw/view?usp=drive_link,,Paper Code 2121002002 | Syllabus: https://drive.google.com/file/d/1y1qbXl-CBDc-9511DIcfLP9Nsq2jDPNZ/view?usp=drive_link
BA(H) HISTORY,PUNJABI BHASHA ATE MEDIA,2023,Not Specified,,https://drive.google.com/file/d/1qSTJPcP_gDI9IHEPl_iStV7Q4yqEqdwN/view?usp=drive_link,,Paper Code 2121002001 | Syllabus: https://drive.google.com/file/d/1iwXqfRwuVKcIILFaBLiAf7Nd6DMMTQuD/view?usp=drive_link
BA(H) HISTORY,SOCIAL FORMATIONS AND CULTURAL PATTERNS OF THE ANCIENT WORLD-I,2023,Not Specified,,https://drive.google.com/file/d/1gMI-grJ0hk8g_4r16hYQhsI8ucGc0YZ2/view?usp=drive_link,,Paper Code 2312101102 | Syllabus: https://drive.google.com/file/d/1hJFbbxcZqNNqxgUEzTDnqAuis-YmSRE1/view?usp=drive_link
BA(H) HISTORY,SOCIAL FORMATIONS AND CULTURAL PATTERNS OF THE MEDIVAL WORLD - II,2023,Not Specified,,https://drive.google.com/file/d/1F7SoCQ3e9FJuKz2xrgBFG9rO3LwrsPw6/view?usp=drive_link,,Paper Code 2312101202 | Syllabus: https://drive.google.com/file/d/1UoBFnmGd2bKpHtUnlhfWEDu4N4lLkaaf/view?usp=drive_link
BA(H) HISTORY,URDU A,2023,Not Specified,,https://drive.google.com/file/d/1lbRs-Vlx379kgnuFIjJCA6lfOm-WafsL/view?usp=drive_link,,Paper Code 2141002001 | Syllabus: https://drive.google.com/file/d/1p8P2Ggp-OjOtNXJeLKxecfdlM7uiRZVK/view?usp=drive_link
BA(H) HISTORY,जनसंचार और रचनात्मक लेखन (हिन्दी ख),2023,Not Specified,,https://drive.google.com/file/d/1bzv5xNztZtdbuwwgbroIYcNK9_iywneR/view?usp=drive_link,,Paper Code 2051002002 | Syllabus: https://drive.google.com/file/d/15lB9Ic_t1Nu4c3uwdMs49_eomWbL_dL2/view?usp=drive_link
BA(H) HISTORY,HISTORY OF INDIA – IV: C.1200 – 1500,2024,Not Specified,,https://drive.google.com/file/d/1o8-8ARPVuOT729Elh198PjPt9DtPhZTH/view?usp=drive_link,,Paper Code 2312102401 | Syllabus: https://drive.google.com/file/d/19cZ4xFQfDNJoJwMoNV9wmS7Nfm51iOhB/view?usp=drive_link
BA(H) HISTORY,HISTORY OF INDIA-II(C.300 BCE TO 750 CE),2024,Not Specified,,https://drive.google.com/file/d/1NWJJCq3LSfNlN1eeUXGWgVoJNSbN3ive/view?usp=sharing,,Paper Code 2312101201 | Syllabus: https://drive.google.com/file/d/10zj9XrOLmjzl0wGHLqBB2t0yE4IcndKu/view?usp=drive_link
BA(H) HISTORY,HISTORY OF MODERN JAPAN (C. 1868 – 1950S),2024,Not Specified,,https://drive.google.com/file/d/1v3FDJSBEvd_Nv34pLX9t_xeUKluECBFE/view?usp=drive_link,,Paper Code 2312102403 | Syllabus: https://drive.google.com/file/d/1vdE_A4jgef8RQRkDYsYmUjiD14p-NsrQ/view?usp=drive_link
BA(H) HISTORY,HISTORY OF THE USA : RECONSTRUCTION TO NEW AGE POLITICS,2024,Not Specified,,https://drive.google.com/file/d/1IReppnIn_GAJ1abECxC6bDNvTnBQUv9A/view?usp=sharing,,Paper Code 2312101203 | Syllabus: https://drive.google.com/file/d/1ZB14U7fslJZ_ZL3T5MI9lu7OVJERy0NN/view?usp=drive_link
BA(H) HISTORY,RISE OF THE MODERN WEST – II,2024,Not Specified,,https://drive.google.com/file/d/1LcOFGzZ2efr6lTnz26zdty4jZA--Kct3/view?usp=drive_link,,Paper Code 2312102402 | Syllabus: https://drive.google.com/file/d/1saIFsvo1ZSKf62YoissCTQDc3a7wBhis/view?usp=drive_link
