course,subject,yearrange,semestergroup,semester,fileurl,filename,note
B.A. (Hons.) History,History of India-II (c. 300 BCE-750 CE),2024,Semester 2,2,https://drive.google.com/file/d/1lI23jDASUWI7B_oKO25JzUDM8Hedukyr/view,2024_sem-2_dsc-1_upc-12311203_qp-1433_set-01.pdf,UPC: 12311203 | QP: 1433 | Type: Core | Scheme: CBCS/legacy
B.A. (Hons.) History,History of India-II (c. 300 BCE-750 CE),2024,Semester 2,2,https://drive.google.com/file/d/1v-W1vAhGPztuMCsHKZyDt1PLA3HYedBD/view,2024_sem-2_dsc-1_upc-2312101201_qp-5145_set-02.pdf,UPC: 2312101201 | QP: 5145 | Type: DSC | Scheme: UGCF/NEP
B.A. (Hons.) History,History of India-II (c. 300 BCE-750 CE),2025,Semester 2,2,https://drive.google.com/file/d/1-4l50Rr5uiSg8IlhF5T-6F7SFEYtg9pL/view,2025_sem-2_dsc-1_upc-2312101201_qp-6466.pdf,UPC: 2312101201 | QP: 6466 | Type: DSC | Scheme: UGCF/NEP
B.A. (Hons.) History,History of the USA: Reconstruction to New Age Politics,2023,Semester 2,2,https://drive.google.com/file/d/1cMOuHk-aMyk2kCEN6UV5_Wgq4kOyFFYj/view,2023_sem-2_dsc-3_upc-2312101203_set-02.pdf,UPC: 2312101203 | Type: DSC | Scheme: Mixed (CBCS/UGCF)
B.A. (Hons.) History,History of the USA: Reconstruction to New Age Politics,2024,Semester 2,2,https://drive.google.com/file/d/1fp5UhZPp_xKf6AID2oAwpdVJl9nuN_jo/view,2024_sem-2_dsc-3_upc-2312101203_qp-5245_set-02.pdf,UPC: 2312101203 | QP: 5245 | Type: DSC | Scheme: UGCF/NEP
B.A. (Hons.) History,History of the USA: Reconstruction to New Age Politics,2025,Semester 2,2,https://drive.google.com/file/d/1IM7P-aD_LRK3H7H05A4M2EtmOnh_BEqE/view,2025_sem-2_dsc-3_upc-2312101203_qp-6529.pdf,UPC: 2312101203 | QP: 6529 | Type: DSC | Scheme: UGCF/NEP
B.A. (Hons.) History,Social Formations and Cultural Patterns of the Medieval World-II,2023,Semester 2,2,https://drive.google.com/file/d/1EDZcgzJgdPbtu0KgdvAZTm6fcjSbphGf/view,2023_sem-2_dsc-2_upc-2312101202.pdf,UPC: 2312101202 | Type: DSC-2 | Scheme: Mixed (CBCS/UGCF)
B.A. (Hons.) History,Social Formations and Cultural Patterns of the Medieval World-II,2024,Semester 2,2,https://drive.google.com/file/d/1nve5LwoYkXHPH7ypv70ylGn1YOIQz_sk/view,2024_sem-2_dsc-2_upc-2312101202_qp-5195.pdf,UPC: 2312101202 | QP: 5195 | Type: DSC | Scheme: UGCF/NEP
B.A. (Hons.) History,Social Formations and Cultural Patterns of the Medieval World-II,2025,Semester 2,2,https://drive.google.com/file/d/1gucYKcHYpNwAQkyyhVeATqgRJ_uQ9bYZ/view,2025_sem-2_dsc-2_upc-2312101202_qp-6499.pdf,UPC: 2312101202 | QP: 6499 | Type: DSC | Scheme: UGCF/NEP
B.A. (Hons.) History,History of India-III (750-1200),2026,Semester 3,3,https://drive.google.com/file/d/1yqqOY5o9sUkKZkjb_sh03IMRRjE_jvF7/view,2026_sem-3_dsc-1_upc-2312102301_qp-5045_set-01.pdf,UPC: 2312102301 | QP: 5045 | Type: DSC | Scheme: UGCF/NEP
B.A. (Hons.) History,History of India-III (750-1200),2026,Semester 3,3,https://drive.google.com/file/d/1IAcujpqypPe8V06pP9AQ1e8OQOCQEzPq/view,2026_sem-3_dsc-1_upc-2312102301_qp-5045_set-02.pdf,UPC: 2312102301 | QP: 5045 | Type: DSC | Scheme: UGCF/NEP
B.A. (Hons.) History,History of Modern China (1840-1950s),2026,Semester 3,3,https://drive.google.com/file/d/1C7QamCr_PlJDounyDebMB_m8Dkdxh_hR/view,2026_sem-3_dsc-3_upc-2312102303_qp-5367.pdf,UPC: 2312102303 | QP: 5367 | Type: DSC | Scheme: UGCF/NEP
B.A. (Hons.) History,History of South East Asia I,2026,Semester 3,3,https://drive.google.com/file/d/18sDtyf6DAuAOo_9XMUoooXkseD9kczlh/view,2026_sem-3_dse-2_upc-2313102002_qp-5469.pdf,UPC: 2313102002 | QP: 5469 | Type: DSE | Scheme: UGCF/NEP
B.A. (Hons.) History,Indian Epigraphy I,2026,Semester 3,3,https://drive.google.com/file/d/1ivA6Ow1PCLzDTMK2IBXyX4s-csYIYwUl/view,2026_sem-3_dscc-dsc_upc-2132102303_qp-5377.pdf,UPC: 2132102303 | QP: 5377 | Type: DSCC / DSC | Scheme: UGCF/NEP
