course,subject,yearrange,semestergroup,semester,fileurl,filename,note
B.Com. (Hons.),Management Principles and Applications,2026,Semester 1,1,https://drive.google.com/file/d/152KRMZuNlHf2er33r9iC-D7VQQxQNioP/view,b-com-hons_collection-2026_semi_dsc_management-principles-and-applications_upc2412081101_qp7353_p001-008.pdf,UPC: 2412081101 | QP: 7353 | Type: DSC | Printed: B.Com. (Hons) CBCS
B.Com. (Hons.),Business Mathematics and Statistics,2023-2024,Semester 2,2,https://drive.google.com/file/d/1GMQyvxHnNhwmq9MFYOHDfSDsS5TZ3sHh/view,26_2023_Sem-II_DSC-Core_Business_Mathematics_and_Statistics_UPC-52411202_QP-4377.pdf,UPC: 52411202 | QP: 4377 | Type: DSC-Core
B.Com. (Hons.),Company Laws,2025,Semester 2,2,https://drive.google.com/file/d/13cmwTIqaugtiUhPkO1fbydwwKyfuiyFd/view,b-com-hons_collection-2025_semii_dsc_company-laws_upc2412081202_qp3702_p001-008.pdf,UPC: 2412081202 | QP: 3702 | Type: DSC | Printed: B.Com. (H.)
B.Com. (Hons.),Hindi - A,2023-2024,Semester 2,2,https://drive.google.com/file/d/1eKovSdVu9Y56wTlKO8VzfHdPlRJstaAm/view,27_2023_Sem-II_AEC-Language_Hindi_-_A_UPC-52051221_QP-4404.pdf,UPC: 52051221 | QP: 4404 | Type: AEC-Language
B.Com. (Hons.),Human Resource Management,2025,Semester 2,2,https://drive.google.com/file/d/1UDpHf9GDRiMsVxmnQ8PKwgixqfGKp77B/view,b-com-hons_collection-2025_semii_dsc_human-resource-management_upc2412081203_qp3703_p009-016.pdf,UPC: 2412081203 | QP: 3703 | Type: DSC | Printed: B.Com. (H.) UGCF
B.Com. (Hons.),not stated Family Business Management,2024-2025,Semester 2,2,https://drive.google.com/file/d/1ICRSr6NVgUXdnQXialIjMR3uMjEVlaPW/view,28_2024_Sem-II_Type_not_stated_Family_Business_Management_UPC-2924001205_QP-6066.pdf,UPC: 2924001205 | QP: 6066 | Type: ge
B.Com. (Hons.),not stated Financial Accounting,2023-2024,Semester 2,2,https://drive.google.com/file/d/14tkqKNmwoJ8zVhAGAAVl-J6UIVjLUfWJ/view,24_2023_Sem-II_Type_not_stated_Financial_Accounting_UPC-2412201202_QP-1458.pdf,UPC: 2412201202 | QP: 1458
B.Com. (Hons.),Business Mathematics,2026,Semester 3,3,https://drive.google.com/file/d/1yJ_QrtLLm5RdK87sf62fHkPedIn_sXt2/view,b-com-hons_collection-2026_semiii_dsc_business-mathematics_upc2412082301_qp7352_p025-040.pdf,UPC: 2412082301 | QP: 7352 | Type: DSC | Printed: B.Com. (H) - DSC | Alternate Business Mathematics paper; same UPC as QP 15042.
B.Com. (Hons.),Business Mathematics,2026,Semester 3,3,https://drive.google.com/file/d/1FSjEKCRLKs0tkpEJhacctzjTVkItOsuJ/view,b-com-hons_collection-2026_semiii_dsc_business-mathematics_upc2412082301_qp15042_p081-088.pdf,UPC: 2412082301 | QP: 15042 | Type: DSC | Printed: B.Com. (H) | Short alternate paper; same UPC as QP 7352.
B.Com. (Hons.),Financial Management,2026,Semester 3,3,https://drive.google.com/file/d/1LpJ-1Q7a-YJMoWjp8SP30rivJL4HFnrk/view,b-com-hons_collection-2026_semiii_dsc_financial-management_upc2412082302_qp7357_p041-056.pdf,UPC: 2412082302 | QP: 7357 | Type: DSC | Printed: B.Com. (H) 2nd Year - DSC 3.2
B.Com. (Hons.),Financial Management,2026,Semester 3,3,https://drive.google.com/file/d/17rNUfdM4aLYjeyQUAvM3ur4QrMXKMWIg/view,b-com-hons_collection-2026_semiii_dsc_financial-management_upc2412092302_qp7507_p073-080.pdf,UPC: 2412092302 | QP: 7507 | Type: DSC | Printed: B.Com. (Hons) (UGCF)
B.Com. (Hons.),Financial Markets and Institutions,2026,Semester 3,3,https://drive.google.com/file/d/1_41LljmWAsPfPjwaCyH3jbS_QG4eRws1/view,b-com-hons_collection-2026_semiii_dse_financial-markets-and-institutions_upc2413082002_qp7371_p069-072.pdf,UPC: 2413082002 | QP: 7371 | Type: DSE | Printed: B.Com. (H)
